batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
046_02,2,046_ST_V10A20_011_2_02.tif,046_MP_F3.vsi - 20x_BF_02.tif,-0.12210134416818619,91,-0.07780803740024567,229,-0.05861438065767288,235,-0.08875339478254318,225,-0.21795734763145447,262,-0.3506544232368469,255,-0.4461888074874878,261,-0.5555890202522278,252,-0.6125469207763672,261,261.0,-0.6070886850357056
046_02,3,046_MP_F3.vsi - 20x_BF_02.tif,046 M+ V6 HES.vsi - 20x_BF_02.tif,-0.12090958654880524,357,-0.07762500643730164,353,-0.05174979194998741,353,-0.07037575542926788,184,-0.17797771096229553,60,-0.30659741163253784,60,-0.3920385539531708,61,-0.5153922438621521,55,-0.5913790464401245,60,60.0,-0.5838559865951538
046_02,4,046 M+ V6 HES.vsi - 20x_BF_02.tif,046 M- V7 HES.vsi - 20x_BF_02.tif,-0.1386980265378952,47,-0.10023906081914902,47,-0.09538998454809189,47,-0.1673516482114792,47,-0.32575738430023193,47,-0.4451753795146942,47,-0.5209890007972717,47,-0.6131157279014587,47,-0.6734726428985596,47,47.0,-0.6620628833770752
046_02,5,046 M- V7 HES.vsi - 20x_BF_02.tif,046 MM V8_01.vsi - 20x_BF_02.tif,-0.12045392394065857,105,-0.08300075680017471,105,-0.06054382026195526,101,-0.08455841988325119,101,-0.19930286705493927,100,-0.3244342803955078,105,-0.40820810198783875,101,-0.546395480632782,101,-0.5838008522987366,101,101.0,-0.5851550698280334
046_02,6,046 MM V8_01.vsi - 20x_BF_02.tif,046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,-0.14813117682933807,117,-0.12456867843866348,117,-0.1451968252658844,117,-0.23871752619743347,117,-0.44017231464385986,117,-0.5551422834396362,117,-0.6528418660163879,117,-0.7102779746055603,117,-0.7663522362709045,116,116.0,-0.7880116701126099
046_02,7,046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,-0.10394138097763062,70,-0.07359930872917175,187,-0.08088192343711853,178,-0.15067026019096375,42,-0.3067217767238617,42,-0.44294729828834534,196,-0.5144981741905212,196,-0.5435869693756104,196,-0.6282311677932739,196,196.0,-0.6560750007629395
046_02,8,046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,046 HE R11_1.vsi - 20x_02.tif,-0.11706358939409256,148,-0.07288779318332672,148,-0.05560766160488129,312,-0.09652421623468399,312,-0.2399785965681076,147,-0.3735894560813904,147,-0.47486576437950134,147,-0.6025567650794983,147,-0.6561983227729797,147,147.0,-0.666391909122467
046_02,9,046 HE R11_1.vsi - 20x_02.tif,046 HE R21_1.vsi - 20x_02.tif,-0.13757140934467316,217,-0.1038743332028389,217,-0.10411117970943451,221,-0.1783953458070755,220,-0.34233617782592773,17,-0.46488189697265625,19,-0.5604287981987,18,-0.6425043940544128,31,-0.7221001982688904,31,31.0,-0.6962494850158691
047_02,1,047 HE R1_1.vsi - 20x_02.tif,047_ST_V10A20_007_2_02.tif,-0.1444830596446991,335,-0.12353504449129105,333,-0.16805030405521393,334,-0.29348570108413696,334,-0.5032621026039124,335,-0.6463137865066528,336,-0.7384403347969055,335,-0.8331548571586609,336,-0.8679078221321106,335,335.0,-0.8500672578811646
047_02,2,047_ST_V10A20_007_2_02.tif,047_MP_F3.vsi - 20x_BF_02.tif,-0.11080306768417358,244,-0.07396972179412842,245,-0.06589449942111969,245,-0.11112622916698456,245,-0.2611313462257385,246,-0.41247251629829407,245,-0.5189816355705261,245,-0.6473817825317383,246,-0.7025704979896545,246,246.0,-0.6840924620628357
047_02,3,047_MP_F3.vsi - 20x_BF_02.tif,047 M+ V6 HES.vsi - 20x_BF_02.tif,-0.10655061900615692,164,-0.06742289662361145,164,-0.05314672738313675,12,-0.08562816679477692,169,-0.22430899739265442,164,-0.38124334812164307,164,-0.4881247282028198,169,-0.6207147240638733,134,-0.6967781186103821,168,168.0,-0.680440366268158
